x,y
0.0,1.1471941581445388
0.1,0.9310571905318491
0.2,1.2987692921833613
0.30000000000000004,1.7009317230708794
0.4,1.5791449412852567
0.5,1.883545234154158
0.6000000000000001,2.006738757431892
0.7000000000000001,1.8333476853245163
0.8,1.7215221480130654
0.9,1.9613279542004207
1.0,2.017244794358403
1.1,1.544401255487494
1.2000000000000002,1.4246768275943062
1.3,1.6046637563855428
1.4000000000000001,0.9192247904732742
1.5,0.6604906514941179
1.6,0.959322524887678
1.7000000000000002,-0.12328723410985254
1.8,0.042544881203550045
1.9000000000000001,-0.8145336467770805
2.0,-0.8209590049963801
2.1,-0.6728371208150121
2.2,-0.9794284992701041
2.3000000000000003,-1.626600278252101
2.4000000000000004,-1.727293968153745
2.5,-1.7739321079750447
2.6,-2.1548248073239256
2.7,-1.8632437159942734
2.8000000000000003,-1.5543310567141582
2.9000000000000004,-2.2521413706436797
3.0,-2.314155165236934
3.1,-1.7538845338211937
3.2,-1.6883595466647163
3.3000000000000003,-1.1192886345938806
3.4000000000000004,-1.2946057115560436
3.5,-1.0266900977282614
3.6,-0.7859281075807241
3.7,-0.6602768242684429
3.8000000000000003,-0.03157280882991567
3.9000000000000004,-0.1312865098512917
4.0,0.6635380038233378
4.1000000000000005,0.7189629428860097
4.2,1.088952713552919
4.3,1.1264193169019054
4.4,1.2738993466850448
4.5,2.006214430111271
4.6000000000000005,1.8911261480738097
4.7,2.1497051684320994
4.800000000000001,2.0137610473139627
4.9,2.522305652063047
5.0,2.050216502919646
5.1000000000000005,1.7070501723957388
5.2,1.9580454869034245
5.300000000000001,1.7402143560554952
5.4,1.0045642010497127
5.5,1.2262670616961273
5.6000000000000005,1.1980815171525734
5.7,0.8923648297481765
5.800000000000001,0.37789274653789406
5.9,-0.09310826223037352
6.0,-0.05204353106213301
6.1000000000000005,-0.6758111874953108
6.2,-0.4680225260217655
6.300000000000001,-1.0640637656777365
6.4,-1.4351050984806055
6.5,-1.582930044808324
6.6000000000000005,-1.8178307007843109
6.7,-1.916870082414503
6.800000000000001,-2.060546853301191
6.9,-2.0546472296711134
7.0,-1.9521864732541048
7.1000000000000005,-1.8568222382694273
7.2,-2.130087154709702
7.300000000000001,-1.9873341034740903
7.4,-1.7314876917977065
7.5,-1.4445808330960284
7.6000000000000005,-1.2167283501282664
7.7,-1.3962507492350824
7.800000000000001,-0.37565309433490435
7.9,-0.607411374391518
8.0,0.23075397762371744
8.1,-0.10338712849913484
8.200000000000001,0.27018531998036266
8.3,0.698290011334522
8.4,0.9727879060837723
8.5,1.108906310930231
8.6,1.6277308181528756
8.700000000000001,1.3046202689633657
8.8,2.02292103057793
8.9,1.7545056973266218
9.0,2.231534642294841
9.1,1.9180923916249513
9.200000000000001,1.6937326181846668
9.3,1.992753939988917
9.4,2.2356165457839055
9.5,1.6255541304593535
9.600000000000001,1.468059686080104
9.700000000000001,1.143138340362694
9.8,0.7974917306919321
9.9,0.5504693750340812
